上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:105/07/11
產業類別:全部
股票代號,名稱,本益比,每股股利,殖利率(%),股價淨值比
"6217","中探針","12.27","2.80","7.29","1.57"
"6218","豪勉","16.20","1.00","5.71","1.09"
"6219","富旺","N/A","0.12","1.06","1.02"
"6220","岳豐","18.85","1.17","7.13","0.89"
"6221","晉泰","12.11","2.20","8.41","1.54"
"6223","旺矽","26.18","3.00","3.59","1.78"
"6227","茂綸","10.22","1.00","3.57","1.44"
"6228","全譜","N/A","0.00","0.00","1.24"
"6229","研通","78.75","0.04","0.32","0.99"
"6231","系微","62.33","0.85","2.27","2.10"
"6233","旺玖","N/A","0.00","0.00","0.98"
"6234","高僑","6.18","3.00","12.05","0.76"
"6236","康呈","N/A","0.00","0.00","4.23"
"6237","驊訊","23.75","0.25","0.85","1.45"
"6238","勝麗","28.09","6.80","2.28","10.68"
"6241","易通展","N/A","0.00","0.00","2.14"
"6242","立康","18.18","0.15","0.30","3.44"
"6244","茂迪","23.79","0.00","0.00","1.05"
"6245","立端","14.44","2.00","4.21","1.99"
"6246","臺龍","9.11","0.00","0.00","3.29"
"6247","淇譽電","8.35","0.50","4.83","0.69"
"6248","沛波","12.29","0.65","2.63","2.15"
"6259","百徽","N/A","0.00","0.00","1.07"
"6261","久元","12.92","3.30","6.76","1.06"
"6263","普萊德","11.85","3.50","6.92","2.56"
"6264","富裔","N/A","0.00","0.00","1.18"
"6265","方土昶","19.32","0.55","7.49","0.54"
"6266","泰詠","8.94","1.60","10.00","0.94"
"6270","倍微","31.32","0.50","4.69","0.63"
"6274","台燿","11.00","1.60","4.35","1.37"
"6275","元山","37.24","0.40","2.83","1.07"
"6276","安鈦克","N/A","0.00","0.00","0.59"
"6279","胡連","17.00","5.60","4.06","3.23"
"6284","佳邦","N/A","1.00","4.71","0.76"
"6287","元隆","N/A","0.00","0.00","4.21"
"6290","良維","10.86","2.01","6.02","1.19"
"6291","沛亨","N/A","0.00","0.00","1.56"
"6292","迅德","13.35","2.00","7.27","1.34"
"6294","智基","14.29","5.80","4.23","6.48"
"6298","崴強","15.51","1.00","6.58","0.92"
"6404","通訊-KY","165.38","0.20","0.93","0.58"
"6411","晶焱","12.29","1.80","4.56","1.86"
"6417","韋僑","12.83","1.50","4.75","1.63"
"6419","京晨科","N/A","0.00","0.00","0.98"
"6426","統新","26.46","1.50","4.46","1.83"
"6432","今展科","9.15","2.50","8.25","1.30"
"6435","大中","13.57","3.04","7.45","2.09"
"6457","紘康","14.46","2.10","6.30","1.86"
"6462","神盾","N/A","0.00","0.00","8.40"
"6465","威潤","22.30","2.97","4.09","3.74"
"6469","大樹","22.08","2.00","2.51","2.82"
"6470","宇智","9.79","4.00","8.70","2.32"
"6482","弘煜科","19.18","0.00","0.00","3.00"
"6485","點序","13.82","4.00","4.53","2.53"
"6488","環球晶","14.23","5.00","6.98","1.53"
"6494","九齊","10.73","1.80","5.57","2.14"
"6496","科懋","24.75","2.50","3.61","2.68"
"6506","雙邦","9.83","1.00","4.91","1.36"
"6508","惠光","12.39","1.50","5.68","1.01"
"6509","聚和","20.90","0.60","3.05","1.20"
"6510","精測","48.10","6.00","0.85","9.08"
"6512","啟發電","12.85","0.00","0.00","1.95"
"6514","芮特-KY","14.09","2.90","7.07","1.50"
"6523","達爾膚","27.13","0.00","0.00","6.84"
"6603","富強鑫","28.11","0.40","3.85","0.66"
"6609","瀧澤科","10.36","1.40","5.34","0.97"
"6803","崑鼎","14.35","9.69","5.36","2.53"
"7402","邑錡","46.36","2.20","2.88","4.17"
"8024","佑華","N/A","0.20","1.70","0.79"
"8027","鈦昇","N/A","0.30","1.83","1.20"
"8032","光菱","9.08","1.30","5.26","0.89"
"8034","榮群","N/A","0.00","0.00","0.81"
"8038","長園科","N/A","0.00","0.00","4.94"
"8040","九暘","N/A","0.00","0.00","0.84"
"8042","金山電","10.48","3.00","6.58","1.25"
"8043","蜜望實","8.49","0.80","5.35","0.53"
"8044","網家","40.29","6.29","1.86","6.40"
"8047","星雲","37.14","0.35","3.37","0.81"
"8048","德勝","9.92","2.80","7.49","2.25"
"8049","晶采","12.13","0.85","5.52","1.29"
"8050","廣積","14.93","3.49","5.29","2.59"
"8054","安國","38.50","1.01","5.24","0.74"
"8059","凱碩","11.41","0.50","5.04","0.84"
"8064","東捷","59.23","0.50","3.25","1.06"
"8066","來思達","10.59","8.00","8.87","3.65"
"8067","志旭","N/A","0.00","0.00","0.68"
"8068","全達","69.76","0.00","0.00","4.28"
"8069","元太","14.67","0.47","2.63","0.78"
"8071","能率豐","N/A","0.20","1.64","0.83"
"8074","鉅橡","10.76","1.49","5.54","1.53"
"8076","伍豐","67.25","1.02","1.67","3.28"
"8077","洛碁","N/A","0.00","0.00","3.81"
"8079","誠遠","13.77","0.00","0.00","1.14"
"8080","奧斯特","N/A","0.00","0.00","2.27"
"8082","漢承泰","N/A","0.00","0.00","3.15"
"8083","瑞穎","16.46","7.80","5.31","4.48"
"8084","巨虹","N/A","0.00","0.00","3.22"
"8085","福華","N/A","0.00","0.00","0.64"
"8086","宏捷科","7.39","4.75","8.65","2.28"
"8087","華鎂鑫","N/A","0.00","0.00","0.75"
"8088","品安","17.30","1.48","5.38","1.78"
"8091","翔名","10.00","3.00","5.83","1.31"
"8092","建暐","N/A","0.00","0.00","0.89"
"8093","保銳","N/A","0.00","0.00","0.71"
"8096","擎亞","10.50","1.50","7.98","0.94"
"8097","常珵","N/A","0.00","0.00","1.36"
"8099","大世科","12.90","1.00","5.62","1.23"
"8107","大億科","22.08","0.71","3.03","1.56"
"8109","博大","11.48","4.50","6.36","3.27"
"8111","立碁","N/A","0.00","0.00","0.52"
"8121","越峰","N/A","0.00","0.00","1.09"
"8147","正淩","15.13","2.00","4.95","1.76"
"8155","博智","16.97","2.00","6.55","1.13"
"8171","天宇","N/A","0.00","0.00","0.88"
"8176","智捷","17.65","0.00","0.00","0.88"
"8182","加高","13.92","0.70","5.19","0.54"
"8183","精星","N/A","0.00","0.00","0.76"
"8234","新漢","17.16","1.25","4.31","1.68"
"8240","華宏","N/A","0.50","2.93","0.37"
"8255","朋程","14.93","6.50","5.33","2.86"
"8266","中日新","6.13","0.00","0.00","2.17"
"8277","商丞","N/A","0.00","0.00","1.10"
"8287","英格爾","9.52","1.00","5.93","0.65"
"8289","泰藝","15.07","0.60","5.24","0.59"
"8291","尚茂","N/A","0.00","0.00","0.87"
"8299","群聯","13.38","12.00","4.36","2.55"
"8349","恒耀","15.00","3.50","4.50","2.48"
"8354","冠好","16.41","0.70","4.14","0.76"
"8358","金居","N/A","0.00","0.00","2.60"
"8383","千附","12.20","2.20","4.67","1.77"
"8390","金益鼎","N/A","0.20","1.19","0.89"
"8401","白紗科","15.91","0.60","5.70","0.71"
"8403","盛弘","24.42","1.50","3.77","1.62"
"8406","金可-KY","19.50","6.80","2.02","3.02"
"8409","商之器","N/A","0.00","0.00","1.80"
"8410","森田","53.16","0.30","1.49","0.59"
"8416","實威","11.87","6.00","6.17","3.02"
"8418","捷必勝-KY","N/A","0.00","0.00","0.50"
"8420","明揚","7.46","1.20","6.33","1.20"
"8421","旭源","20.28","0.50","2.33","1.73"
"8423","保綠-KY","189.50","0.80","4.22","1.22"
"8424","惠普","9.67","2.50","7.14","1.39"
"8426","紅木-KY","11.68","2.50","5.66","2.01"
"8431","匯鑽科","N/A","0.00","0.00","2.57"
"8432","東生華","28.97","2.10","2.19","2.81"
"8433","弘帆","19.89","5.50","3.85","5.47"
"8435","鉅邁","14.85","3.15","7.00","1.86"
"8436","大江","32.46","2.63","1.78","4.06"
"8437","大地-KY","22.10","4.65","2.49","3.82"
"8444","綠河-KY","38.10","2.20","1.46","4.96"
"8446","華研","21.87","4.50","3.73","4.83"
"8450","霹靂","33.47","2.80","2.29","3.70"
"8455","大拓-KY","26.21","0.08","0.20","2.53"
"8462","柏文","22.74","3.91","4.89","3.18"
"8472","夠麻吉","15.46","3.95","6.58","1.89"
"8905","裕國","35.42","0.70","5.49","0.69"
"8906","花王","N/A","0.00","0.00","0.76"
"8908","欣雄","22.50","1.20","3.70","2.52"
"8913","全銓","42.68","0.45","2.57","1.30"
"8916","光隆","11.64","2.99","6.20","1.58"
"8917","欣泰","38.28","1.00","2.04","3.26"
"8921","沈氏","19.33","0.76","4.37","0.97"
"8923","時報","16.46","0.85","5.01","1.16"
"8924","大田","N/A","0.00","0.00","0.90"
"8927","北基","243.00","0.00","0.00","0.94"
"8928","鉅明","9.71","2.50","7.58","2.00"
"8929","富堡","16.53","1.20","5.04","0.97"
"8930","青鋼","N/A","0.00","0.00","0.64"
"8931","大汽電","30.99","0.80","3.40","1.59"
"8932","宏大","11.52","0.00","0.00","0.96"
"8933","愛地雅","7.25","0.50","4.03","0.74"
"8934","衡平","9.89","0.00","0.00","1.47"
"8935","邦泰","N/A","0.00","0.00","1.04"
"8936","國統","40.83","1.00","4.54","0.95"
"8937","合騏","36.62","0.11","0.88","1.13"
"8938","明安","48.10","0.70","3.47","0.83"
"8941","關中","21.21","2.50","3.03","2.31"
"8942","森鉅","10.14","5.99","7.61","1.88"
"9949","琉園","N/A","0.00","0.00","0.76"
"9950","萬國通","25.07","0.84","4.48","1.09"
"9951","皇田","16.97","5.50","3.27","5.63"
"9960","邁達康","69.38","0.50","2.25","1.66"
"9962","有益","N/A","0.00","0.00","0.89"
共717筆
