上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:105/07/11
產業類別:全部
股票代號,名稱,本益比,每股股利,殖利率(%),股價淨值比
"3293","鈊象","33.33","4.50","1.79","5.76"
"3294","英濟","169.38","0.30","2.21","0.72"
"3297","杭特","20.76","0.80","4.48","0.75"
"3299","帛漢","9.65","4.84","9.91","1.61"
"3303","岱稜","10.67","1.20","5.80","1.11"
"3306","鼎天","19.47","1.00","4.55","0.79"
"3310","佳穎","11.65","0.50","3.83","0.95"
"3313","斐成","N/A","0.00","0.00","0.56"
"3317","尼克森","N/A","0.00","0.00","0.60"
"3322","建舜電","N/A","0.00","0.00","0.95"
"3323","加百裕","24.32","1.00","5.08","0.76"
"3324","雙鴻","17.96","0.00","0.00","3.71"
"3325","旭品","79.11","0.14","0.64","1.65"
"3332","幸康","14.71","2.20","5.75","1.32"
"3339","泰谷","N/A","0.00","0.00","0.65"
"3354","律勝","65.08","0.23","2.69","0.54"
"3360","尚立","16.61","1.20","7.52","1.01"
"3362","先進光","N/A","0.00","0.00","1.95"
"3363","上詮","30.15","0.00","0.00","1.67"
"3372","典範","N/A","0.00","0.00","0.86"
"3373","熱映","14.17","1.40","5.15","1.56"
"3374","精材","N/A","0.50","2.31","1.00"
"3379","彬台","N/A","0.00","0.00","0.78"
"3388","崇越電","13.22","4.00","7.06","1.19"
"3390","旭軟","32.28","0.80","5.39","0.73"
"3402","漢科","14.16","0.85","4.38","1.12"
"3428","光燿科","17.20","2.00","3.13","2.47"
"3431","長天","N/A","0.00","0.00","1.60"
"3434","哲固","21.06","0.35","2.34","1.41"
"3438","類比科","N/A","0.30","1.54","0.73"
"3441","聯一光","N/A","0.00","0.00","0.58"
"3444","利機","16.00","1.00","5.95","1.12"
"3452","益通","N/A","0.00","0.00","1.36"
"3455","由田","11.43","2.50","8.04","1.08"
"3465","祥業","N/A","0.00","0.00","3.00"
"3466","致振","N/A","0.50","2.51","0.76"
"3479","安勤","13.02","3.55","5.31","2.22"
"3483","力致","N/A","0.10","0.59","0.42"
"3484","崧騰","14.77","2.20","5.32","1.59"
"3489","森寶","N/A","0.00","0.00","0.74"
"3490","單井","7.43","0.21","0.49","1.51"
"3491","昇達科","13.82","4.30","7.12","1.98"
"3492","長盛","13.82","1.30","3.37","2.63"
"3498","陽程","8.65","2.30","4.55","1.33"
"3499","環天科","301.00","0.00","0.00","1.32"
"3508","位速","N/A","0.00","0.00","0.65"
